方法,方法组,类型,训练口径,权重来源,文本提示,时序支持,农业适配,主表优先级,样本范围,序列数,训练序列数,测试序列数,标注帧数,F1,mIoU,HD95像素,边界F分数,时序IoU,面积变异系数,每帧连通域数,推理时间ms,峰值显存GB,外部非黑比例,泄漏能量,失败原因,备注
SEEM,外部基础视觉模型,可提示/通用交互式分割,既有项目输出导入,官方预训练/历史运行产物,是,弱,否,主表候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.5439,0.6147,306.55,0.1584,0.1461,0.3921,9.8000,,,0.006673,0.005293,,四样本代表集 20 帧同口径评测；从既有 03-SEEM 结果导入。召回明显不足，碎片多。
CLIPSeg,外部基础视觉模型,文本提示二值分割,zero-shot文本提示,CIDAS/clipseg-rd64-refined,是,否,否,主表候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9221,0.9076,310.37,0.0874,0.4244,0.4030,1.0500,,,0.022964,0.018218,,四样本代表集实跑；prompt 为 whole potted plant including flowerpot，阈值 0.5。
Grounded-SAM,检测加分割,Grounding DINO开放词汇检测框+SAM1,zero-shot文本检测框+逐帧SAM1分割,IDEA-Research/grounding-dino-base + sam_vit_h_4b8939,potted plant.,否，本轮逐帧图像模式,否,主表候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9443,0.9335,246.36,0.4034,0.3813,0.3997,1.2500,,,0.005513,0.004374,,四样本代表集实跑；box/text threshold 均为 0.2，取所有检测框的 SAM1 ViT-H 掩膜并集。
Grounded-SAM2,检测加分割,Grounding DINO开放词汇检测框+SAM2,zero-shot文本检测框+逐帧SAM2分割,IDEA-Research/grounding-dino-base + facebook/sam2.1-hiera-large,potted plant.,否，本轮逐帧图像模式,否,附表或扩展候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9238,0.9109,359.38,0.3018,0.3563,0.4000,1.5500,,,0.005947,0.004718,,四样本代表集实跑；未使用视频传播，用于检查 SAM2 后端检测分割组合表现。
SAM2,外部基础视觉模型,图像对象分割,oracle GT框提示,facebook/sam2.1-hiera-large,GT bbox,否，本轮逐帧图像模式,否,主表上界参照,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.8810,0.8656,250.19,0.2977,0.3427,0.4418,1.9500,,,0.015429,0.012240,,四样本代表集实跑；使用人工 GT bbox 作为 oracle 框提示，不是 zero-shot 文本能力。
SAM3单提示词,外部基础视觉模型,概念或文本分割,zero-shot单提示词P2,官方预训练+项目内推理入口,P2: entire plant excluding pot,是,否,主表候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9692,0.9624,193.71,0.4051,0.3922,0.4151,1.0000,,,0.002864,0.002272,,四样本代表集真实补跑；从 rap_runs/SAM3_P2 的 P2 候选掩膜导入，不包含 RAP 后处理。
RAP-FSAM3-v2,本文最终方法,重建感知提示式SAM3派生方法,zero-shot重建感知多提示+细化+几何修正,项目内脚本；SAM3 checkpoint,P1-P5多提示词选择,是,是,主表候选,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9706,0.9641,183.42,0.4643,0.3962,0.4001,1.0000,,,0.002192,0.001739,,四样本代表集真实补跑；P1-P5 多提示词候选、语义门控、SPNP、残差修复和 COLMAP 几何修正。
U-Net,少量监督参照,轻量encoder-decoder分割,leave-one-sequence-out few-shot fine-tune,项目内训练；随机初始化；无外部预训练,否,否,需训练,主表参照,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,3/fold,1/fold,20,0.8622,0.8443,402.54,0.1501,0.3206,0.3915,3.3500,,,0.035735,0.028350,,四样本代表集实跑；4 折 leave-one-sequence-out，训练和测试序列互斥；30 epochs，augment multiplier 4。
DeepLabv3+ lite,少量监督参照,轻量ASPP encoder-decoder语义分割,leave-one-sequence-out few-shot fine-tune,项目内训练；随机初始化；无外部预训练,否,否,需训练,主表参照,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,3/fold,1/fold,20,0.8758,0.8596,265.25,0.1532,0.3173,0.4412,3.1000,,,0.021644,0.017171,,四样本代表集实跑；因 torchvision C++ 扩展不可用，采用项目内轻量 ASPP encoder-decoder 参照；30 epochs，augment multiplier 4。
SAM existing,历史参照,既有SAM历史掩膜,既有项目输出导入,03-SAM历史运行产物,不详,不详,否,不进主表，仅历史参照,四样本代表集：KongQueZhuYu、DouBanLv1、ChangShouHua2、CaoMei1；每样本5帧，共20帧GT,4,0,4,20,0.9837,0.9797,19.49,0.4283,0.4038,0.3829,1.9474,,,0.001697,0.001338,缺帧：DouBanLv1_0050,从既有 03-SAM 导入；DouBanLv1_0050 源 mask 文件存在但 OpenCV 不可读，故仅 19/20 帧。该行不作为实验一主表候选。
