sample,frame,has_potted,has_manual_plant,plant_auto,has_pot,has_cube,cube_status,pot_status,potted_area,clean_area,cube_area,potted_cube_overlap,formal_p6_valid,formal_p2_valid,reason
CaoMei1,0000,True,True,0,True,True,clean,present,1084201,1084201,139639,0,True,True,ok
CaoMei1,0025,True,True,0,True,True,clean,present,1102719,1102719,80713,0,True,True,ok
CaoMei1,0050,True,True,0,True,True,overlapped_393px,present,683626,683233,14590,393,True,True,cube_overlap_removed_393px
CaoMei1,0075,True,True,0,True,True,clean,present,783444,783444,55399,0,True,True,ok
CaoMei1,0100,True,True,0,True,True,clean,present,982176,982176,86537,0,True,True,ok
ChangShouHua2,0000,True,True,0,True,True,clean,present,2844528,2844528,86259,0,True,True,ok
ChangShouHua2,0025,True,True,0,True,True,clean,present,1952859,1952859,34641,0,True,True,ok
ChangShouHua2,0050,True,False,1,True,False,absent,present,1632208,1632208,0,0,True,False,plant_auto_derived;cube_absent
ChangShouHua2,0075,True,False,1,True,True,clean,present,1892412,1892412,47248,0,True,False,plant_auto_derived
ChangShouHua2,0100,True,False,1,False,True,clean,missing,2673181,2673181,33172,0,True,False,plant_auto_derived;pot_missing
DouBanLv1,0000,True,False,1,True,True,clean,present,1928939,1928939,74329,0,True,False,plant_auto_derived
DouBanLv1,0025,True,False,1,True,True,clean,present,1368669,1368669,29000,0,True,False,plant_auto_derived
DouBanLv1,0050,True,False,1,True,False,absent,present,903845,903845,0,0,True,False,plant_auto_derived;cube_absent
DouBanLv1,0075,True,False,1,True,True,clean,present,1336799,1336799,26915,0,True,False,plant_auto_derived
DouBanLv1,0100,True,False,1,True,True,clean,present,890815,890815,22363,0,True,False,plant_auto_derived
KongQueZhuYu,0000,True,False,1,True,True,clean,present,1916591,1916591,35726,0,True,False,plant_auto_derived
KongQueZhuYu,0025,True,False,1,True,True,clean,present,2898713,2898713,30679,0,True,False,plant_auto_derived
KongQueZhuYu,0050,True,False,1,True,True,clean,present,1934985,1934985,24656,0,True,False,plant_auto_derived
KongQueZhuYu,0075,True,False,1,True,True,clean,present,2181344,2181344,37106,0,True,False,plant_auto_derived
KongQueZhuYu,0100,True,False,1,True,True,clean,present,2446674,2446674,17679,0,True,False,plant_auto_derived
XianKeLai1,0000,True,False,1,True,True,clean,present,1532096,1532096,54606,0,True,False,plant_auto_derived
