方法,方法组,训练口径,权重来源,样本名,代表条件,是否进入下游重建,PSNR_fg,SSIM_fg,LPIPS_fg,外部非黑比例,泄漏能量,高斯数量,网格连通域数,最大连通域比例,株高MAE,冠幅MAE,叶宽MAE,训练时间秒,网格化时间秒,失败原因,备注
RAP-FSAM3-v2,本文最终方法,zero-shot重建感知多提示+细化+几何修正,项目内脚本；SAM3 checkpoint,四样本代表集,实验一下游小闭环优先方法,待新重建；优先进入小闭环,,,,,,,,,,,,,,尚未进入统一2DGS/网格/表型流程,分割层面已完成四样本20帧评估；下游指标必须待同口径2DGS真实运行后填写。
SAM3单提示词,外部基础视觉模型,zero-shot单提示词P2,官方预训练+项目内推理入口,四样本代表集,实验一下游小闭环基础模型入口基线,待新重建；优先进入小闭环,,,,,,,,,,,,,,尚未进入统一2DGS/网格/表型流程,从rap_runs/SAM3_P2的P2候选掩膜导入分割表；下游需与RAP-FSAM3-v2同配置训练。
Grounded-SAM,检测加分割,zero-shot文本检测框+逐帧SAM1分割,IDEA-Research/grounding-dino-base + sam_vit_h_4b8939,四样本代表集,实验一下游小闭环开放词汇检测分割代表,待新重建；优先进入小闭环,,,,,,,,,,,,,,尚未进入统一2DGS/网格/表型流程,四样本分割已完成；若下游不稳定，可用CLIPSeg作为替代第三方法。
CLIPSeg,外部基础视觉模型,zero-shot文本提示,CIDAS/clipseg-rd64-refined,四样本代表集,实验一下游小闭环备选开放词汇基线,备选；待新重建,,,,,,,,,,,,,,尚未进入统一2DGS/网格/表型流程,四样本分割已完成；作为轻量文本提示备选基线。
Grounded-SAM2,检测加分割,zero-shot文本检测框+逐帧SAM2分割,IDEA-Research/grounding-dino-base + facebook/sam2.1-hiera-large,四样本代表集,检测分割后端扩展,否，首轮暂不进入,,,,,,,,,,,,,,首轮优先RAP-FSAM3-v2、SAM3单提示词、Grounded-SAM或CLIPSeg,四样本分割已完成；可作为附表或后续扩展。
SAM2,外部基础视觉模型,oracle GT框提示,facebook/sam2.1-hiera-large,四样本代表集,上界参照,否，首轮暂不进入,,,,,,,,,,,,,,oracle框不适合作为首轮传导闭环代表,四样本分割已完成；不是zero-shot文本能力。
SEEM,外部基础视觉模型,既有项目输出导入,官方预训练/历史运行产物,四样本代表集,历史外部基线参照,否，首轮暂不进入,,,,,,,,,,,,,,当前四样本分割召回不足，暂不优先进入下游,四样本分割已完成；如需下游，应重新确认掩膜质量。
U-Net,少量监督参照,leave-one-sequence-out few-shot fine-tune,项目内训练；随机初始化；无外部预训练,四样本代表集,少量监督参照,否，首轮暂不进入,,,,,,,,,,,,,,不属于首轮3方法传导小闭环,四样本分割已完成；用于分割层审稿参照，不优先跑2DGS。
DeepLabv3+ lite,少量监督参照,leave-one-sequence-out few-shot fine-tune,项目内训练；随机初始化；无外部预训练,四样本代表集,少量监督参照,否，首轮暂不进入,,,,,,,,,,,,,,不属于首轮3方法传导小闭环,四样本分割已完成；当前为轻量ASPP encoder-decoder参照。
Florence-2,外部基础视觉模型,zero-shot文本指代表达分割,microsoft/Florence-2-base-ft,四样本代表集,待修复外部VFM基线,否，四样本版暂不进入,,,,,,,,,,,,,,当前环境transformers与Florence-2远程代码字段兼容问题，未生成四样本mask,S23六帧旧结果不混入四样本下游表。
X-Decoder,外部基础视觉模型,zero-shot文本提示,官方预训练,本轮暂停,未来扩展候选,否，本轮暂停,,,,,,,,,,,,,,用户确认本轮不跑,保留为文献背景/未来扩展候选。
OpenSeeD,外部基础视觉模型,zero-shot文本提示,官方预训练,本轮暂停,未来扩展候选,否，本轮暂停,,,,,,,,,,,,,,用户确认本轮不跑,保留为文献背景/未来扩展候选。
SegFormer,少量监督参照,few-shot fine-tune,MMSegmentation或HuggingFace,四样本代表集,后续监督Transformer扩展,否，未训练,,,,,,,,,,,,,,未在本轮运行,资源允许时先补分割，再考虑是否进入下游。
