figure,experiment,frame,panel_order,panel_key,panel_label,png_path,tif_path,crop_x0,crop_y0,crop_x1,crop_y1,crop_width,crop_height
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0000,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_01_rgb_gt.tif,0,355,2160,3120,2160,2765
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0000,2,p2_mask,P2 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_02_p2_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_02_p2_mask.tif,0,355,2160,3120,2160,2765
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0000,3,p2_error,P2 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_03_p2_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_03_p2_error.tif,0,355,2160,3120,2160,2765
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0000,4,p4_mask,P4 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_04_p4_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_04_p4_mask.tif,0,355,2160,3120,2160,2765
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0000,5,p4_error,P4 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_05_p4_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0000/0000_05_p4_error.tif,0,355,2160,3120,2160,2765
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0025,1,rgb_gt,RGB + GT,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_01_rgb_gt.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_01_rgb_gt.tif,0,566,2160,3435,2160,2869
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0025,2,p2_mask,P2 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_02_p2_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_02_p2_mask.tif,0,566,2160,3435,2160,2869
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0025,3,p2_error,P2 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_03_p2_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_03_p2_error.tif,0,566,2160,3435,2160,2869
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0025,4,p4_mask,P4 mask,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_04_p4_mask.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_04_p4_mask.tif,0,566,2160,3435,2160,2869
E2_prompt_P2_vs_P4,experiment_2_prompt_robustness,0025,5,p4_error,P4 error,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_05_p4_error.png,00-论文优化重构/计算机与电子农业特刊实验工作区/05-图件与论文映射/实验二三_RAP-FSAM3图板/individual_panels/E2_prompt_P2_vs_P4/frame_0025/0025_05_p4_error.tif,0,566,2160,3435,2160,2869
