image,label,x,y,source
0000.jpg,1,1046,1879,track_core
0000.jpg,1,1124,1958,track_core
0000.jpg,1,1451,1939,track_core
0000.jpg,1,1098,1762,track_core
0000.jpg,1,1150,2507,track_core
0000.jpg,0,1197,3762,consensus_cut_or_pot
0000.jpg,0,1197,3272,consensus_cut_or_pot
0000.jpg,0,1197,3597,consensus_cut_or_pot
0000.jpg,0,1197,3381,consensus_cut_or_pot
0000.jpg,0,1197,3165,consensus_cut_or_pot
0000.jpg,0,1197,3476,consensus_cut_or_pot
0000.jpg,0,1223,3679,consensus_cut_or_pot
0000.jpg,0,1158,3839,consensus_cut_or_pot
0001.jpg,1,1046,1879,track_core
0001.jpg,1,1124,1958,track_core
0001.jpg,1,1451,1939,track_core
0001.jpg,1,1098,1762,track_core
0001.jpg,1,1150,2507,track_core
0001.jpg,0,1213,3492,consensus_cut_or_pot
0001.jpg,0,1213,3317,consensus_cut_or_pot
0001.jpg,0,1212,3219,consensus_cut_or_pot
0001.jpg,0,1212,3633,consensus_cut_or_pot
0001.jpg,0,1212,3769,consensus_cut_or_pot
0001.jpg,0,1213,3404,consensus_cut_or_pot
0001.jpg,0,1226,3134,consensus_cut_or_pot
0001.jpg,0,1262,3563,consensus_cut_or_pot
0002.jpg,1,1046,1879,track_core
0002.jpg,1,1124,1958,track_core
0002.jpg,1,1451,1939,track_core
0002.jpg,1,1098,1761,track_core
0002.jpg,1,1193,1770,track_core
0002.jpg,0,1094,3665,consensus_cut_or_pot
0002.jpg,0,1094,3412,consensus_cut_or_pot
0002.jpg,0,1094,3510,consensus_cut_or_pot
0002.jpg,0,1094,3760,consensus_cut_or_pot
0002.jpg,0,1094,3265,consensus_cut_or_pot
0002.jpg,0,1060,3839,consensus_cut_or_pot
0002.jpg,0,1131,3187,consensus_cut_or_pot
0002.jpg,0,1055,3587,consensus_cut_or_pot
0003.jpg,1,1046,1879,track_core
0003.jpg,1,1124,1958,track_core
0003.jpg,1,1451,1939,track_core
0003.jpg,1,1098,1762,track_core
0003.jpg,1,1193,1770,track_core
0003.jpg,0,1140,3316,consensus_cut_or_pot
0003.jpg,0,1141,3703,consensus_cut_or_pot
0003.jpg,0,1140,3543,consensus_cut_or_pot
0003.jpg,0,1141,3219,consensus_cut_or_pot
0003.jpg,0,1141,3402,consensus_cut_or_pot
0003.jpg,0,1141,3836,consensus_cut_or_pot
0003.jpg,0,1108,3623,consensus_cut_or_pot
0003.jpg,0,1091,3472,consensus_cut_or_pot
0004.jpg,1,1046,1879,track_core
0004.jpg,1,1124,1958,track_core
0004.jpg,1,1451,1939,track_core
0004.jpg,1,1098,1761,track_core
0004.jpg,1,1193,1770,track_core
0004.jpg,0,1217,3667,consensus_cut_or_pot
0004.jpg,0,1218,3392,consensus_cut_or_pot
0004.jpg,0,1218,3570,consensus_cut_or_pot
0004.jpg,0,1217,3795,consensus_cut_or_pot
0004.jpg,0,1217,3208,consensus_cut_or_pot
0004.jpg,0,1217,3295,consensus_cut_or_pot
0004.jpg,0,1218,3482,consensus_cut_or_pot
0004.jpg,0,1275,3731,consensus_cut_or_pot
0005.jpg,1,1046,1879,track_core
0005.jpg,1,1124,1958,track_core
0005.jpg,1,1451,1939,track_core
0005.jpg,1,1098,1762,track_core
0005.jpg,1,1193,1770,track_core
0005.jpg,0,1241,3714,consensus_cut_or_pot
0005.jpg,0,1241,3415,consensus_cut_or_pot
0005.jpg,0,1241,3811,consensus_cut_or_pot
0005.jpg,0,1241,3283,consensus_cut_or_pot
0005.jpg,0,1241,3601,consensus_cut_or_pot
0005.jpg,0,1241,3194,consensus_cut_or_pot
0005.jpg,0,1241,3506,consensus_cut_or_pot
0005.jpg,0,1185,3349,consensus_cut_or_pot
0006.jpg,1,1046,1879,track_core
0006.jpg,1,1124,1958,track_core
0006.jpg,1,1451,1939,track_core
0006.jpg,1,1098,1762,track_core
0006.jpg,1,1193,1770,track_core
0006.jpg,0,1203,3502,consensus_cut_or_pot
0006.jpg,0,1203,3745,consensus_cut_or_pot
0006.jpg,0,1204,3270,consensus_cut_or_pot
0006.jpg,0,1203,3616,consensus_cut_or_pot
0006.jpg,0,1204,3359,consensus_cut_or_pot
0006.jpg,0,1204,3836,consensus_cut_or_pot
0006.jpg,0,1203,3183,consensus_cut_or_pot
0006.jpg,0,1252,3431,consensus_cut_or_pot
0007.jpg,1,1046,1879,track_core
0007.jpg,1,1124,1958,track_core
0007.jpg,1,1451,1939,track_core
0007.jpg,1,1098,1761,track_core
0007.jpg,1,1193,1770,track_core
0007.jpg,0,1259,3539,consensus_cut_or_pot
0007.jpg,0,1259,3691,consensus_cut_or_pot
0007.jpg,0,1259,3308,consensus_cut_or_pot
0007.jpg,0,1259,3411,consensus_cut_or_pot
0007.jpg,0,1259,3215,consensus_cut_or_pot
0007.jpg,0,1259,3809,consensus_cut_or_pot
0007.jpg,0,1218,3615,consensus_cut_or_pot
0007.jpg,0,1304,3614,consensus_cut_or_pot
0008.jpg,1,1046,1879,track_core
0008.jpg,1,1124,1958,track_core
0008.jpg,1,1451,1939,track_core
0008.jpg,1,1098,1761,track_core
0008.jpg,1,1193,1770,track_core
0008.jpg,0,1272,3297,consensus_cut_or_pot
0008.jpg,0,1272,3469,consensus_cut_or_pot
0008.jpg,0,1272,3709,consensus_cut_or_pot
0008.jpg,0,1272,3585,consensus_cut_or_pot
0008.jpg,0,1272,3838,consensus_cut_or_pot
0008.jpg,0,1273,3383,consensus_cut_or_pot
0008.jpg,0,1273,3211,consensus_cut_or_pot
0008.jpg,0,1214,3774,consensus_cut_or_pot
0009.jpg,1,1046,1879,track_core
0009.jpg,1,1124,1958,track_core
0009.jpg,1,1451,1939,track_core
0009.jpg,1,1098,1762,track_core
0009.jpg,1,1152,2502,track_core
0009.jpg,0,1263,3438,consensus_cut_or_pot
0009.jpg,0,1263,3319,consensus_cut_or_pot
0009.jpg,0,1262,3783,consensus_cut_or_pot
0009.jpg,0,1263,3665,consensus_cut_or_pot
0009.jpg,0,1262,3541,consensus_cut_or_pot
0009.jpg,0,1236,3237,consensus_cut_or_pot
0009.jpg,0,1318,3211,consensus_cut_or_pot
0009.jpg,0,1323,3602,consensus_cut_or_pot
0010.jpg,1,1046,1879,track_core
0010.jpg,1,1145,2518,track_core
0010.jpg,1,1124,1958,track_core
0010.jpg,1,1451,1939,track_core
0010.jpg,1,1098,1762,track_core
0010.jpg,0,1380,3619,consensus_cut_or_pot
0010.jpg,0,1380,3774,consensus_cut_or_pot
0010.jpg,0,1380,3501,consensus_cut_or_pot
0010.jpg,0,1380,3409,consensus_cut_or_pot
0010.jpg,0,1419,3697,consensus_cut_or_pot
0010.jpg,0,1333,3698,consensus_cut_or_pot
0010.jpg,0,1436,3343,consensus_cut_or_pot
0010.jpg,0,1324,3343,consensus_cut_or_pot
0011.jpg,1,1046,1879,track_core
0011.jpg,1,1124,1958,track_core
0011.jpg,1,1451,1939,track_core
0011.jpg,1,1357,2672,track_core
0011.jpg,1,1152,1786,track_core
0011.jpg,0,1452,3466,consensus_cut_or_pot
0011.jpg,0,1452,3766,consensus_cut_or_pot
0011.jpg,0,1452,3580,consensus_cut_or_pot
0011.jpg,0,1452,3676,consensus_cut_or_pot
0011.jpg,0,1409,3391,consensus_cut_or_pot
0011.jpg,0,1496,3392,consensus_cut_or_pot
0011.jpg,0,1406,3839,consensus_cut_or_pot
0011.jpg,0,1498,3839,consensus_cut_or_pot
0012.jpg,1,1336,2677,track_core
0012.jpg,1,1124,1958,track_core
0012.jpg,1,1451,1939,track_core
0012.jpg,1,1055,1897,track_core
0012.jpg,1,1383,1856,track_core
0012.jpg,0,1488,3707,consensus_cut_or_pot
0012.jpg,0,1488,3830,consensus_cut_or_pot
0012.jpg,0,1488,3590,consensus_cut_or_pot
0012.jpg,0,1488,3468,consensus_cut_or_pot
0012.jpg,0,1544,3402,consensus_cut_or_pot
0012.jpg,0,1432,3402,consensus_cut_or_pot
0012.jpg,0,1549,3768,consensus_cut_or_pot
0012.jpg,0,1427,3768,consensus_cut_or_pot
0013.jpg,1,1298,2685,track_core
0013.jpg,1,1124,1958,track_core
0013.jpg,1,1451,1939,track_core
0013.jpg,1,1049,1901,track_core
0013.jpg,1,1205,1730,track_core
0013.jpg,0,1493,3486,consensus_cut_or_pot
0013.jpg,0,1493,3679,consensus_cut_or_pot
0013.jpg,0,1493,3822,consensus_cut_or_pot
0013.jpg,0,1493,3578,consensus_cut_or_pot
0013.jpg,0,1542,3751,consensus_cut_or_pot
0013.jpg,0,1444,3750,consensus_cut_or_pot
0013.jpg,0,1544,3416,consensus_cut_or_pot
0013.jpg,0,1443,3416,consensus_cut_or_pot
0014.jpg,1,1046,1879,track_core
0014.jpg,1,1124,1958,track_core
0014.jpg,1,1451,1939,track_core
0014.jpg,1,1342,2677,track_core
0014.jpg,1,1159,2513,track_core
0014.jpg,0,1484,3787,consensus_cut_or_pot
0014.jpg,0,1484,3686,consensus_cut_or_pot
0014.jpg,0,1484,3537,consensus_cut_or_pot
0014.jpg,0,1484,3436,consensus_cut_or_pot
0014.jpg,0,1528,3612,consensus_cut_or_pot
0014.jpg,0,1440,3612,consensus_cut_or_pot
0014.jpg,0,1428,3370,consensus_cut_or_pot
0014.jpg,0,1540,3370,consensus_cut_or_pot
0015.jpg,1,1046,1879,track_core
0015.jpg,1,1138,2524,track_core
0015.jpg,1,1124,1958,track_core
0015.jpg,1,1451,1939,track_core
0015.jpg,1,1099,1762,track_core
0015.jpg,0,1436,3390,consensus_cut_or_pot
0015.jpg,0,1436,3659,consensus_cut_or_pot
0015.jpg,0,1436,3779,consensus_cut_or_pot
0015.jpg,0,1436,3543,consensus_cut_or_pot
0015.jpg,0,1477,3466,consensus_cut_or_pot
0015.jpg,0,1391,3464,consensus_cut_or_pot
0015.jpg,0,1379,3325,consensus_cut_or_pot
0015.jpg,0,1493,3325,consensus_cut_or_pot
0016.jpg,1,1046,1879,track_core
0016.jpg,1,1138,2524,track_core
0016.jpg,1,1124,1958,track_core
0016.jpg,1,1451,1939,track_core
0016.jpg,1,1344,2676,track_core
0016.jpg,0,1330,3801,consensus_cut_or_pot
0016.jpg,0,1330,3563,consensus_cut_or_pot
0016.jpg,0,1330,3657,consensus_cut_or_pot
0016.jpg,0,1330,3435,consensus_cut_or_pot
0016.jpg,0,1330,3337,consensus_cut_or_pot
0016.jpg,0,1378,3729,consensus_cut_or_pot
0016.jpg,0,1282,3729,consensus_cut_or_pot
0016.jpg,0,1388,3499,consensus_cut_or_pot
0017.jpg,1,1046,1879,track_core
0017.jpg,1,1138,2524,track_core
0017.jpg,1,1124,1958,track_core
0017.jpg,1,1451,1939,track_core
0017.jpg,1,1098,1762,track_core
0017.jpg,0,1179,3691,consensus_cut_or_pot
0017.jpg,0,1178,3830,consensus_cut_or_pot
0017.jpg,0,1178,3405,consensus_cut_or_pot
0017.jpg,0,1179,3304,consensus_cut_or_pot
0017.jpg,0,1178,3604,consensus_cut_or_pot
0017.jpg,0,1179,3491,consensus_cut_or_pot
0017.jpg,0,1230,3761,consensus_cut_or_pot
0017.jpg,0,1127,3760,consensus_cut_or_pot
0018.jpg,1,1046,1879,track_core
0018.jpg,1,1138,2524,track_core
0018.jpg,1,1124,1958,track_core
0018.jpg,1,1451,1939,track_core
0018.jpg,1,1098,1761,track_core
0018.jpg,0,1109,3514,consensus_cut_or_pot
0018.jpg,0,1109,3651,consensus_cut_or_pot
0018.jpg,0,1109,3804,consensus_cut_or_pot
0018.jpg,0,1109,3312,consensus_cut_or_pot
0018.jpg,0,1109,3415,consensus_cut_or_pot
0018.jpg,0,1084,3229,consensus_cut_or_pot
0018.jpg,0,1068,3727,consensus_cut_or_pot
0018.jpg,0,1154,3726,consensus_cut_or_pot
0019.jpg,1,1046,1879,track_core
0019.jpg,1,1138,2524,track_core
0019.jpg,1,1124,1958,track_core
0019.jpg,1,1451,1939,track_core
0019.jpg,1,1098,1761,track_core
0019.jpg,0,1135,3566,consensus_cut_or_pot
0019.jpg,0,1135,3394,consensus_cut_or_pot
0019.jpg,0,1135,3791,consensus_cut_or_pot
0019.jpg,0,1135,3675,consensus_cut_or_pot
0019.jpg,0,1135,3303,consensus_cut_or_pot
0019.jpg,0,1136,3480,consensus_cut_or_pot
0019.jpg,0,1188,3235,consensus_cut_or_pot
0019.jpg,0,1082,3235,consensus_cut_or_pot
0020.jpg,1,1046,1879,track_core
0020.jpg,1,1138,2524,track_core
0020.jpg,1,1281,2677,track_core
0020.jpg,1,1124,1958,track_core
0020.jpg,1,1451,1939,track_core
0020.jpg,0,1070,3647,consensus_cut_or_pot
0020.jpg,0,1070,3442,consensus_cut_or_pot
0020.jpg,0,1070,3556,consensus_cut_or_pot
0020.jpg,0,1070,3772,consensus_cut_or_pot
0020.jpg,0,1064,3356,consensus_cut_or_pot
0020.jpg,0,1016,3839,consensus_cut_or_pot
0020.jpg,0,1124,3839,consensus_cut_or_pot
0020.jpg,0,1130,3710,consensus_cut_or_pot
0021.jpg,1,1282,2683,track_core
0021.jpg,1,1046,1879,track_core
0021.jpg,1,1138,2524,track_core
0021.jpg,1,1124,1958,track_core
0021.jpg,1,1451,1939,track_core
0021.jpg,0,1040,3789,consensus_cut_or_pot
0021.jpg,0,1040,3418,consensus_cut_or_pot
0021.jpg,0,1041,3522,consensus_cut_or_pot
0021.jpg,0,1041,3701,consensus_cut_or_pot
0021.jpg,0,1040,3608,consensus_cut_or_pot
0021.jpg,0,1100,3356,consensus_cut_or_pot
0021.jpg,0,981,3355,consensus_cut_or_pot
0021.jpg,0,1110,3470,consensus_cut_or_pot
0022.jpg,1,1046,1879,track_core
0022.jpg,1,1269,2684,track_core
0022.jpg,1,1138,2524,track_core
0022.jpg,1,1124,1958,track_core
0022.jpg,1,1448,1943,track_core
0022.jpg,0,1012,3660,consensus_cut_or_pot
0022.jpg,0,1012,3547,consensus_cut_or_pot
0022.jpg,0,1012,3752,consensus_cut_or_pot
0022.jpg,0,1013,3445,consensus_cut_or_pot
0022.jpg,0,1013,3839,consensus_cut_or_pot
0022.jpg,0,961,3376,consensus_cut_or_pot
0022.jpg,0,1065,3375,consensus_cut_or_pot
0022.jpg,0,1078,3604,consensus_cut_or_pot
0023.jpg,1,1046,1879,track_core
0023.jpg,1,1138,2524,track_core
0023.jpg,1,1124,1958,track_core
0023.jpg,1,1451,1939,track_core
0023.jpg,1,1242,2674,track_core
0023.jpg,0,1107,3523,consensus_cut_or_pot
0023.jpg,0,1107,3797,consensus_cut_or_pot
0023.jpg,0,1107,3394,consensus_cut_or_pot
0023.jpg,0,1107,3616,consensus_cut_or_pot
0023.jpg,0,1107,3704,consensus_cut_or_pot
0023.jpg,0,1093,3309,consensus_cut_or_pot
0023.jpg,0,1165,3458,consensus_cut_or_pot
0023.jpg,0,1049,3458,consensus_cut_or_pot
0024.jpg,1,1046,1879,track_core
0024.jpg,1,1138,2524,track_core
0024.jpg,1,1124,1958,track_core
0024.jpg,1,1098,1762,track_core
0024.jpg,1,835,2542,track_core
0024.jpg,0,1074,3486,consensus_cut_or_pot
0024.jpg,0,1074,3313,consensus_cut_or_pot
0024.jpg,0,1075,3650,consensus_cut_or_pot
0024.jpg,0,1075,3779,consensus_cut_or_pot
0024.jpg,0,1075,3399,consensus_cut_or_pot
0024.jpg,0,1048,3568,consensus_cut_or_pot
0024.jpg,0,1128,3246,consensus_cut_or_pot
0024.jpg,0,1020,3246,consensus_cut_or_pot
0025.jpg,1,1046,1879,track_core
0025.jpg,1,1138,2524,track_core
0025.jpg,1,1124,1958,track_core
0025.jpg,1,1098,1762,track_core
0025.jpg,1,1193,1770,track_core
0025.jpg,0,1062,3804,consensus_cut_or_pot
0025.jpg,0,1061,3585,consensus_cut_or_pot
0025.jpg,0,1062,3269,consensus_cut_or_pot
0025.jpg,0,1061,3442,consensus_cut_or_pot
0025.jpg,0,1062,3714,consensus_cut_or_pot
0025.jpg,0,1061,3355,consensus_cut_or_pot
0025.jpg,0,1022,3192,consensus_cut_or_pot
0025.jpg,0,1108,3187,consensus_cut_or_pot
0026.jpg,1,1046,1879,track_core
0026.jpg,1,1138,2524,track_core
0026.jpg,1,1124,1958,track_core
0026.jpg,1,1451,1939,track_core
0026.jpg,1,1098,1761,track_core
0026.jpg,0,1140,3412,consensus_cut_or_pot
0026.jpg,0,1140,3565,consensus_cut_or_pot
0026.jpg,0,1140,3674,consensus_cut_or_pot
0026.jpg,0,1140,3249,consensus_cut_or_pot
0026.jpg,0,1140,3824,consensus_cut_or_pot
0026.jpg,0,1169,3331,consensus_cut_or_pot
0026.jpg,0,1101,3172,consensus_cut_or_pot
0026.jpg,0,1181,3488,consensus_cut_or_pot
0027.jpg,1,1046,1879,track_core
0027.jpg,1,1138,2524,track_core
0027.jpg,1,1124,1958,track_core
0027.jpg,1,1451,1939,track_core
0027.jpg,1,1098,1761,track_core
0027.jpg,0,1197,3532,consensus_cut_or_pot
0027.jpg,0,1196,3682,consensus_cut_or_pot
0027.jpg,0,1197,3396,consensus_cut_or_pot
0027.jpg,0,1197,3820,consensus_cut_or_pot
0027.jpg,0,1216,3312,consensus_cut_or_pot
0027.jpg,0,1153,3607,consensus_cut_or_pot
0027.jpg,0,1240,3608,consensus_cut_or_pot
0027.jpg,0,1144,3752,consensus_cut_or_pot
0028.jpg,1,1046,1879,track_core
0028.jpg,1,1138,2524,track_core
0028.jpg,1,1263,2682,track_core
0028.jpg,1,1124,1958,track_core
0028.jpg,1,1451,1939,track_core
0028.jpg,0,1202,3655,consensus_cut_or_pot
0028.jpg,0,1202,3831,consensus_cut_or_pot
0028.jpg,0,1202,3386,consensus_cut_or_pot
0028.jpg,0,1202,3559,consensus_cut_or_pot
