image,label,x,y,source
0000.jpg,1,1046,1879,track_core
0000.jpg,1,1124,1958,track_core
0000.jpg,1,1451,1939,track_core
0000.jpg,1,1098,1761,track_core
0000.jpg,1,1150,2507,track_core
0000.jpg,0,1197,3436,consensus_cut_or_pot
0000.jpg,0,1197,3759,consensus_cut_or_pot
0000.jpg,0,1197,3558,consensus_cut_or_pot
0000.jpg,0,1197,3343,consensus_cut_or_pot
0000.jpg,0,1197,3663,consensus_cut_or_pot
0000.jpg,0,1197,3172,consensus_cut_or_pot
0000.jpg,0,1211,3258,consensus_cut_or_pot
0000.jpg,0,1165,3839,consensus_cut_or_pot
0001.jpg,1,1046,1879,track_core
0001.jpg,1,1124,1958,track_core
0001.jpg,1,1451,1939,track_core
0001.jpg,1,1098,1761,track_core
0001.jpg,1,1193,1770,track_core
0001.jpg,0,1076,3292,consensus_cut_or_pot
0001.jpg,0,1076,3618,consensus_cut_or_pot
0001.jpg,0,1076,3825,consensus_cut_or_pot
0001.jpg,0,1077,3473,consensus_cut_or_pot
0001.jpg,0,1076,3726,consensus_cut_or_pot
0001.jpg,0,1077,3381,consensus_cut_or_pot
0001.jpg,0,1072,3206,consensus_cut_or_pot
0001.jpg,0,1124,3546,consensus_cut_or_pot
0002.jpg,1,1046,1879,track_core
0002.jpg,1,1124,1958,track_core
0002.jpg,1,1451,1939,track_core
0002.jpg,1,1098,1762,track_core
0002.jpg,1,1193,1770,track_core
0002.jpg,0,1095,3649,consensus_cut_or_pot
0002.jpg,0,1095,3432,consensus_cut_or_pot
0002.jpg,0,1094,3259,consensus_cut_or_pot
0002.jpg,0,1094,3780,consensus_cut_or_pot
0002.jpg,0,1094,3554,consensus_cut_or_pot
0002.jpg,0,1095,3345,consensus_cut_or_pot
0002.jpg,0,1136,3183,consensus_cut_or_pot
0002.jpg,0,1050,3180,consensus_cut_or_pot
0003.jpg,1,1046,1879,track_core
0003.jpg,1,1124,1958,track_core
0003.jpg,1,1451,1939,track_core
0003.jpg,1,1098,1762,track_core
0003.jpg,1,1193,1770,track_core
0003.jpg,0,1141,3634,consensus_cut_or_pot
0003.jpg,0,1141,3514,consensus_cut_or_pot
0003.jpg,0,1141,3812,consensus_cut_or_pot
0003.jpg,0,1141,3383,consensus_cut_or_pot
0003.jpg,0,1141,3287,consensus_cut_or_pot
0003.jpg,0,1141,3723,consensus_cut_or_pot
0003.jpg,0,1125,3202,consensus_cut_or_pot
0003.jpg,0,1198,3449,consensus_cut_or_pot
0004.jpg,1,1046,1879,track_core
0004.jpg,1,1124,1958,track_core
0004.jpg,1,1451,1939,track_core
0004.jpg,1,1098,1761,track_core
0004.jpg,1,1193,1770,track_core
0004.jpg,0,1217,3387,consensus_cut_or_pot
0004.jpg,0,1218,3836,consensus_cut_or_pot
0004.jpg,0,1218,3474,consensus_cut_or_pot
0004.jpg,0,1218,3571,consensus_cut_or_pot
0004.jpg,0,1218,3221,consensus_cut_or_pot
0004.jpg,0,1218,3667,consensus_cut_or_pot
0004.jpg,0,1199,3752,consensus_cut_or_pot
0004.jpg,0,1241,3304,consensus_cut_or_pot
0005.jpg,1,1046,1879,track_core
0005.jpg,1,1124,1958,track_core
0005.jpg,1,1451,1939,track_core
0005.jpg,1,1098,1761,track_core
0005.jpg,1,1193,1770,track_core
0005.jpg,0,1241,3378,consensus_cut_or_pot
0005.jpg,0,1242,3744,consensus_cut_or_pot
0005.jpg,0,1241,3211,consensus_cut_or_pot
0005.jpg,0,1241,3520,consensus_cut_or_pot
0005.jpg,0,1242,3639,consensus_cut_or_pot
0005.jpg,0,1242,3836,consensus_cut_or_pot
0005.jpg,0,1264,3295,consensus_cut_or_pot
0005.jpg,0,1290,3449,consensus_cut_or_pot
0006.jpg,1,1046,1879,track_core
0006.jpg,1,1124,1958,track_core
0006.jpg,1,1451,1939,track_core
0006.jpg,1,1098,1762,track_core
0006.jpg,1,1193,1770,track_core
0006.jpg,0,1204,3585,consensus_cut_or_pot
0006.jpg,0,1205,3336,consensus_cut_or_pot
0006.jpg,0,1205,3477,consensus_cut_or_pot
0006.jpg,0,1204,3689,consensus_cut_or_pot
0006.jpg,0,1205,3225,consensus_cut_or_pot
0006.jpg,0,1205,3788,consensus_cut_or_pot
0006.jpg,0,1168,3147,consensus_cut_or_pot
0006.jpg,0,1254,3144,consensus_cut_or_pot
0007.jpg,1,1046,1879,track_core
0007.jpg,1,1124,1958,track_core
0007.jpg,1,1451,1939,track_core
0007.jpg,1,1098,1761,track_core
0007.jpg,1,1193,1770,track_core
0007.jpg,0,1260,3242,consensus_cut_or_pot
0007.jpg,0,1259,3825,consensus_cut_or_pot
0007.jpg,0,1259,3339,consensus_cut_or_pot
0007.jpg,0,1259,3733,consensus_cut_or_pot
0007.jpg,0,1259,3480,consensus_cut_or_pot
0007.jpg,0,1259,3639,consensus_cut_or_pot
0007.jpg,0,1228,3162,consensus_cut_or_pot
0007.jpg,0,1293,3560,consensus_cut_or_pot
0008.jpg,1,1046,1879,track_core
0008.jpg,1,1124,1958,track_core
0008.jpg,1,1451,1939,track_core
0008.jpg,1,1098,1761,track_core
0008.jpg,1,1193,1770,track_core
0008.jpg,0,1272,3834,consensus_cut_or_pot
0008.jpg,0,1272,3213,consensus_cut_or_pot
0008.jpg,0,1272,3345,consensus_cut_or_pot
0008.jpg,0,1273,3447,consensus_cut_or_pot
0008.jpg,0,1273,3627,consensus_cut_or_pot
0008.jpg,0,1272,3731,consensus_cut_or_pot
0008.jpg,0,1273,3539,consensus_cut_or_pot
0008.jpg,0,1328,3279,consensus_cut_or_pot
0009.jpg,1,1046,1879,track_core
0009.jpg,1,1124,1958,track_core
0009.jpg,1,1451,1939,track_core
0009.jpg,1,1098,1761,track_core
0009.jpg,1,1151,2501,track_core
0009.jpg,0,1263,3599,consensus_cut_or_pot
0009.jpg,0,1262,3285,consensus_cut_or_pot
0009.jpg,0,1262,3403,consensus_cut_or_pot
0009.jpg,0,1263,3831,consensus_cut_or_pot
0009.jpg,0,1263,3741,consensus_cut_or_pot
0009.jpg,0,1263,3493,consensus_cut_or_pot
0009.jpg,0,1214,3670,consensus_cut_or_pot
0009.jpg,0,1312,3670,consensus_cut_or_pot
0010.jpg,1,1046,1879,track_core
0010.jpg,1,1145,2518,track_core
0010.jpg,1,1124,1958,track_core
0010.jpg,1,1451,1939,track_core
0010.jpg,1,1098,1762,track_core
0010.jpg,0,1380,3493,consensus_cut_or_pot
0010.jpg,0,1380,3773,consensus_cut_or_pot
0010.jpg,0,1380,3616,consensus_cut_or_pot
0010.jpg,0,1380,3403,consensus_cut_or_pot
0010.jpg,0,1343,3694,consensus_cut_or_pot
0010.jpg,0,1429,3692,consensus_cut_or_pot
0010.jpg,0,1324,3839,consensus_cut_or_pot
0010.jpg,0,1436,3839,consensus_cut_or_pot
0011.jpg,1,1046,1879,track_core
0011.jpg,1,1124,1958,track_core
0011.jpg,1,1451,1939,track_core
0011.jpg,1,1357,2672,track_core
0011.jpg,1,1152,1786,track_core
0011.jpg,0,1453,3440,consensus_cut_or_pot
0011.jpg,0,1452,3649,consensus_cut_or_pot
0011.jpg,0,1452,3742,consensus_cut_or_pot
0011.jpg,0,1453,3549,consensus_cut_or_pot
0011.jpg,0,1453,3836,consensus_cut_or_pot
0011.jpg,0,1395,3376,consensus_cut_or_pot
0011.jpg,0,1511,3376,consensus_cut_or_pot
0011.jpg,0,1386,3495,consensus_cut_or_pot
0012.jpg,1,1336,2677,track_core
0012.jpg,1,1124,1958,track_core
0012.jpg,1,1451,1939,track_core
0012.jpg,1,1055,1897,track_core
0012.jpg,1,1383,1856,track_core
0012.jpg,0,1488,3797,consensus_cut_or_pot
0012.jpg,0,1489,3590,consensus_cut_or_pot
0012.jpg,0,1489,3503,consensus_cut_or_pot
0012.jpg,0,1489,3700,consensus_cut_or_pot
0012.jpg,0,1455,3424,consensus_cut_or_pot
0012.jpg,0,1540,3410,consensus_cut_or_pot
0012.jpg,0,1422,3644,consensus_cut_or_pot
0012.jpg,0,1556,3645,consensus_cut_or_pot
0013.jpg,1,1298,2685,track_core
0013.jpg,1,1124,1958,track_core
0013.jpg,1,1451,1939,track_core
0013.jpg,1,1049,1902,track_core
0013.jpg,1,1205,1730,track_core
0013.jpg,0,1494,3492,consensus_cut_or_pot
0013.jpg,0,1494,3732,consensus_cut_or_pot
0013.jpg,0,1494,3618,consensus_cut_or_pot
0013.jpg,0,1494,3836,consensus_cut_or_pot
0013.jpg,0,1542,3420,consensus_cut_or_pot
0013.jpg,0,1446,3420,consensus_cut_or_pot
0013.jpg,0,1435,3555,consensus_cut_or_pot
0013.jpg,0,1553,3555,consensus_cut_or_pot
0014.jpg,1,1046,1879,track_core
0014.jpg,1,1124,1958,track_core
0014.jpg,1,1451,1939,track_core
0014.jpg,1,1343,2677,track_core
0014.jpg,1,1159,2513,track_core
0014.jpg,0,1484,3659,consensus_cut_or_pot
0014.jpg,0,1485,3536,consensus_cut_or_pot
0014.jpg,0,1485,3772,consensus_cut_or_pot
0014.jpg,0,1485,3430,consensus_cut_or_pot
0014.jpg,0,1431,3839,consensus_cut_or_pot
0014.jpg,0,1539,3839,consensus_cut_or_pot
0014.jpg,0,1426,3367,consensus_cut_or_pot
0014.jpg,0,1544,3367,consensus_cut_or_pot
0015.jpg,1,1046,1879,track_core
0015.jpg,1,1138,2524,track_core
0015.jpg,1,1124,1958,track_core
0015.jpg,1,1451,1939,track_core
0015.jpg,1,1099,1763,track_core
0015.jpg,0,1436,3439,consensus_cut_or_pot
0015.jpg,0,1436,3679,consensus_cut_or_pot
0015.jpg,0,1436,3564,consensus_cut_or_pot
0015.jpg,0,1436,3838,consensus_cut_or_pot
0015.jpg,0,1461,3356,consensus_cut_or_pot
0015.jpg,0,1402,3758,consensus_cut_or_pot
0015.jpg,0,1488,3763,consensus_cut_or_pot
0015.jpg,0,1380,3326,consensus_cut_or_pot
0016.jpg,1,1046,1879,track_core
0016.jpg,1,1138,2524,track_core
0016.jpg,1,1124,1958,track_core
0016.jpg,1,1451,1939,track_core
0016.jpg,1,1344,2676,track_core
0016.jpg,0,1331,3338,consensus_cut_or_pot
0016.jpg,0,1331,3701,consensus_cut_or_pot
0016.jpg,0,1331,3583,consensus_cut_or_pot
0016.jpg,0,1331,3838,consensus_cut_or_pot
0016.jpg,0,1331,3459,consensus_cut_or_pot
0016.jpg,0,1278,3770,consensus_cut_or_pot
0016.jpg,0,1384,3770,consensus_cut_or_pot
0016.jpg,0,1389,3274,consensus_cut_or_pot
0017.jpg,1,1046,1879,track_core
0017.jpg,1,1138,2524,track_core
0017.jpg,1,1124,1958,track_core
0017.jpg,1,1451,1939,track_core
0017.jpg,1,1098,1762,track_core
0017.jpg,0,1180,3454,consensus_cut_or_pot
0017.jpg,0,1180,3338,consensus_cut_or_pot
0017.jpg,0,1180,3684,consensus_cut_or_pot
0017.jpg,0,1180,3798,consensus_cut_or_pot
0017.jpg,0,1180,3584,consensus_cut_or_pot
0017.jpg,0,1218,3260,consensus_cut_or_pot
0017.jpg,0,1132,3259,consensus_cut_or_pot
0017.jpg,0,1123,3519,consensus_cut_or_pot
0018.jpg,1,1046,1879,track_core
0018.jpg,1,1138,2524,track_core
0018.jpg,1,1124,1958,track_core
0018.jpg,1,1451,1939,track_core
0018.jpg,1,1098,1762,track_core
0018.jpg,0,1115,3792,consensus_cut_or_pot
0018.jpg,0,1115,3572,consensus_cut_or_pot
0018.jpg,0,1115,3480,consensus_cut_or_pot
0018.jpg,0,1115,3666,consensus_cut_or_pot
0018.jpg,0,1115,3372,consensus_cut_or_pot
0018.jpg,0,1115,3261,consensus_cut_or_pot
0018.jpg,0,1061,3194,consensus_cut_or_pot
0018.jpg,0,1169,3194,consensus_cut_or_pot
0019.jpg,1,1046,1879,track_core
0019.jpg,1,1138,2524,track_core
0019.jpg,1,1124,1958,track_core
0019.jpg,1,1451,1939,track_core
0019.jpg,1,1098,1762,track_core
0019.jpg,0,1137,3312,consensus_cut_or_pot
0019.jpg,0,1136,3412,consensus_cut_or_pot
0019.jpg,0,1136,3563,consensus_cut_or_pot
0019.jpg,0,1137,3717,consensus_cut_or_pot
0019.jpg,0,1136,3806,consensus_cut_or_pot
0019.jpg,0,1176,3640,consensus_cut_or_pot
0019.jpg,0,1179,3487,consensus_cut_or_pot
0019.jpg,0,1093,3488,consensus_cut_or_pot
0020.jpg,1,1046,1879,track_core
0020.jpg,1,1138,2524,track_core
0020.jpg,1,1270,2680,track_core
0020.jpg,1,1124,1958,track_core
0020.jpg,1,1451,1939,track_core
0020.jpg,0,1071,3657,consensus_cut_or_pot
0020.jpg,0,1071,3559,consensus_cut_or_pot
0020.jpg,0,1071,3456,consensus_cut_or_pot
0020.jpg,0,1071,3767,consensus_cut_or_pot
0020.jpg,0,1071,3368,consensus_cut_or_pot
0020.jpg,0,1023,3839,consensus_cut_or_pot
0020.jpg,0,1119,3839,consensus_cut_or_pot
0020.jpg,0,1012,3305,consensus_cut_or_pot
0021.jpg,1,1282,2683,track_core
0021.jpg,1,1046,1879,track_core
0021.jpg,1,1138,2524,track_core
0021.jpg,1,1124,1958,track_core
0021.jpg,1,1451,1939,track_core
0021.jpg,0,1043,3645,consensus_cut_or_pot
0021.jpg,0,1043,3809,consensus_cut_or_pot
0021.jpg,0,1043,3467,consensus_cut_or_pot
0021.jpg,0,1043,3556,consensus_cut_or_pot
0021.jpg,0,1017,3727,consensus_cut_or_pot
0021.jpg,0,1071,3385,consensus_cut_or_pot
0021.jpg,0,989,3359,consensus_cut_or_pot
0021.jpg,0,1102,3745,consensus_cut_or_pot
0022.jpg,1,1046,1879,track_core
0022.jpg,1,1269,2684,track_core
0022.jpg,1,1138,2524,track_core
0022.jpg,1,1124,1958,track_core
0022.jpg,1,1448,1943,track_core
0022.jpg,0,1014,3539,consensus_cut_or_pot
0022.jpg,0,1014,3449,consensus_cut_or_pot
0022.jpg,0,1014,3786,consensus_cut_or_pot
0022.jpg,0,1014,3641,consensus_cut_or_pot
0022.jpg,0,966,3713,consensus_cut_or_pot
0022.jpg,0,1062,3713,consensus_cut_or_pot
0022.jpg,0,965,3378,consensus_cut_or_pot
0022.jpg,0,1063,3378,consensus_cut_or_pot
0023.jpg,1,1046,1879,track_core
0023.jpg,1,1138,2524,track_core
0023.jpg,1,1124,1958,track_core
0023.jpg,1,1451,1939,track_core
0023.jpg,1,1242,2674,track_core
0023.jpg,0,1118,3572,consensus_cut_or_pot
0023.jpg,0,1118,3377,consensus_cut_or_pot
0023.jpg,0,1117,3801,consensus_cut_or_pot
0023.jpg,0,1118,3676,consensus_cut_or_pot
0023.jpg,0,1117,3479,consensus_cut_or_pot
0023.jpg,0,1137,3293,consensus_cut_or_pot
0023.jpg,0,1059,3254,consensus_cut_or_pot
0023.jpg,0,1058,3738,consensus_cut_or_pot
0024.jpg,1,1046,1879,track_core
0024.jpg,1,1138,2524,track_core
0024.jpg,1,1124,1958,track_core
0024.jpg,1,1098,1762,track_core
0024.jpg,1,835,2542,track_core
0024.jpg,0,1075,3835,consensus_cut_or_pot
0024.jpg,0,1075,3346,consensus_cut_or_pot
0024.jpg,0,1076,3644,consensus_cut_or_pot
0024.jpg,0,1075,3517,consensus_cut_or_pot
0024.jpg,0,1076,3739,consensus_cut_or_pot
0024.jpg,0,1089,3432,consensus_cut_or_pot
0024.jpg,0,1109,3267,consensus_cut_or_pot
0024.jpg,0,1024,3249,consensus_cut_or_pot
0025.jpg,1,1046,1879,track_core
0025.jpg,1,1138,2524,track_core
0025.jpg,1,1124,1958,track_core
0025.jpg,1,1098,1762,track_core
0025.jpg,1,1193,1770,track_core
0025.jpg,0,1061,3603,consensus_cut_or_pot
0025.jpg,0,1061,3399,consensus_cut_or_pot
0025.jpg,0,1061,3831,consensus_cut_or_pot
0025.jpg,0,1061,3256,consensus_cut_or_pot
0025.jpg,0,1061,3488,consensus_cut_or_pot
0025.jpg,0,1061,3702,consensus_cut_or_pot
0025.jpg,0,1013,3184,consensus_cut_or_pot
0025.jpg,0,1109,3184,consensus_cut_or_pot
0026.jpg,1,1046,1879,track_core
0026.jpg,1,1138,2524,track_core
0026.jpg,1,1124,1958,track_core
0026.jpg,1,1451,1939,track_core
0026.jpg,1,1098,1762,track_core
0026.jpg,0,1140,3682,consensus_cut_or_pot
0026.jpg,0,1140,3279,consensus_cut_or_pot
0026.jpg,0,1140,3830,consensus_cut_or_pot
0026.jpg,0,1140,3587,consensus_cut_or_pot
0026.jpg,0,1140,3482,consensus_cut_or_pot
0026.jpg,0,1140,3382,consensus_cut_or_pot
0026.jpg,0,1124,3194,consensus_cut_or_pot
0026.jpg,0,1184,3756,consensus_cut_or_pot
0027.jpg,1,1046,1879,track_core
0027.jpg,1,1138,2524,track_core
0027.jpg,1,1124,1958,track_core
0027.jpg,1,1451,1939,track_core
0027.jpg,1,1098,1761,track_core
0027.jpg,0,1197,3798,consensus_cut_or_pot
0027.jpg,0,1197,3408,consensus_cut_or_pot
0027.jpg,0,1197,3654,consensus_cut_or_pot
0027.jpg,0,1197,3529,consensus_cut_or_pot
0027.jpg,0,1200,3322,consensus_cut_or_pot
0027.jpg,0,1149,3726,consensus_cut_or_pot
0027.jpg,0,1245,3726,consensus_cut_or_pot
0027.jpg,0,1137,3591,consensus_cut_or_pot
0028.jpg,1,1046,1879,track_core
0028.jpg,1,1138,2524,track_core
0028.jpg,1,1263,2682,track_core
0028.jpg,1,1124,1958,track_core
0028.jpg,1,1451,1939,track_core
0028.jpg,0,1202,3526,consensus_cut_or_pot
0028.jpg,0,1202,3814,consensus_cut_or_pot
0028.jpg,0,1202,3388,consensus_cut_or_pot
0028.jpg,0,1202,3693,consensus_cut_or_pot
