sample,frame,n_raw_instances,gt_bbox,any_instance_overlaps_gt,best_instance_id,best_instance_f1,selected_instance_id,selected_instance_f1,detection_class
BaiZhang,0033,3,"(array([201,   0]), array([2997, 2156]))",True,2,0.959257,2,0.959257,correct_selection
BaiZhang,0034,4,"(array([202,   1]), array([2964, 2157]))",True,2,0.955657,2,0.955657,correct_selection
BaiZhang,0035,4,"(array([269,   3]), array([2916, 1994]))",True,3,0.960533,3,0.960533,correct_selection
BaiZhang,0036,1,"(array([309,   0]), array([2873, 1954]))",True,0,0.962291,0,0.962291,correct_selection
BaiZhang,0037,2,"(array([348,   2]), array([2872, 1884]))",True,1,0.953557,1,0.953557,correct_selection
DouBanLv2,0037,1,"(array([619, 255]), array([2721, 1624]))",True,0,0.98554,0,0.98554,correct_selection
DouBanLv2,0038,1,"(array([663, 246]), array([2658, 1518]))",True,0,0.989847,0,0.989847,correct_selection
DouBanLv2,0039,2,"(array([706, 336]), array([2624, 1553]))",True,1,0.98666,0,0.0,wrong_instance
DouBanLv2,0040,3,"(array([771, 337]), array([2622, 1530]))",True,0,0.98816,1,0.0,wrong_instance
DouBanLv2,0041,9,"(array([844, 240]), array([2639, 1399]))",True,3,0.986485,0,0.0,wrong_instance
