sample,frame,shape_index,inferred_role,confidence,rule
CaoMei1,0000,1,pot,0.9,small+below_plant+warm→pot
CaoMei1,0000,2,plant,0.9,large+upper→plant
CaoMei1,0025,1,plant,0.6,large_but_not_upper→plant(low_conf)
CaoMei1,0025,2,plant,0.9,large+upper→plant
CaoMei1,0050,1,plant,0.9,large+upper→plant
CaoMei1,0075,1,plant,0.6,large_but_not_upper→plant(low_conf)
CaoMei1,0075,2,plant,0.9,large+upper→plant
CaoMei1,0100,1,pot,0.9,small+below_plant+warm→pot
CaoMei1,0100,2,plant,0.9,large+upper→plant
ChangShouHua2,0000,1,pot,0.9,small+below_plant+warm→pot
ChangShouHua2,0000,2,plant,0.9,large+upper→plant
ChangShouHua2,0025,1,plant,0.6,large_but_not_upper→plant(low_conf)
ChangShouHua2,0025,2,plant,0.9,large+upper→plant
ChangShouHua2,0050,1,plant,0.9,large+upper→plant
ChangShouHua2,0075,1,plant,0.6,large_but_not_upper→plant(low_conf)
ChangShouHua2,0075,2,plant,0.9,large+upper→plant
ChangShouHua2,0100,1,pot,0.9,small+below_plant+warm→pot
ChangShouHua2,0100,2,plant,0.9,large+upper→plant
DouBanLv1,0000,1,pot,0.9,small+below_plant+warm→pot
DouBanLv1,0000,2,plant,0.9,large+upper→plant
DouBanLv1,0025,1,plant,0.6,large_but_not_upper→plant(low_conf)
DouBanLv1,0025,2,plant,0.9,large+upper→plant
DouBanLv1,0050,1,plant,0.9,large+upper→plant
DouBanLv1,0075,1,plant,0.6,large_but_not_upper→plant(low_conf)
DouBanLv1,0075,2,plant,0.9,large+upper→plant
DouBanLv1,0100,1,reference_cube,0.9,small+below_plant+blue→cube
DouBanLv1,0100,2,plant,0.9,large+upper→plant
KongQueZhuYu,0000,1,plant,0.6,large_but_not_upper→plant(low_conf)
KongQueZhuYu,0000,2,plant,0.9,large+upper→plant
KongQueZhuYu,0025,1,plant,0.9,large+upper→plant
KongQueZhuYu,0050,1,plant,0.6,large_but_not_upper→plant(low_conf)
KongQueZhuYu,0050,2,plant,0.9,large+upper→plant
KongQueZhuYu,0075,1,pot,0.9,small+below_plant+warm→pot
KongQueZhuYu,0075,2,plant,0.9,large+upper→plant
KongQueZhuYu,0100,1,plant,0.6,large_but_not_upper→plant(low_conf)
KongQueZhuYu,0100,2,plant,0.9,large+upper→plant
XianKeLai1,0000,1,pot,0.9,small+below_plant+warm→pot
XianKeLai1,0000,2,plant,0.9,large+upper→plant
