image,label,x,y,source
0000.jpg,1,1001,1714,track_core
0000.jpg,1,1011,1385,track_core
0000.jpg,1,961,1470,track_core
0000.jpg,1,1087,1709,track_core
0000.jpg,1,1089,1561,track_core
0000.jpg,0,1144,2710,consensus_cut_or_pot
0000.jpg,0,1144,3214,consensus_cut_or_pot
0000.jpg,0,1144,2957,consensus_cut_or_pot
0000.jpg,0,1144,3786,consensus_cut_or_pot
0000.jpg,0,1144,3326,consensus_cut_or_pot
0000.jpg,0,1144,2823,consensus_cut_or_pot
0000.jpg,0,1144,3089,consensus_cut_or_pot
0000.jpg,0,1144,3458,consensus_cut_or_pot
0001.jpg,1,1015,1710,track_core
0001.jpg,1,1011,1385,track_core
0001.jpg,1,961,1470,track_core
0001.jpg,1,1089,1561,track_core
0001.jpg,1,1101,1709,track_core
0001.jpg,0,1227,3039,consensus_cut_or_pot
0001.jpg,0,1227,3278,consensus_cut_or_pot
0001.jpg,0,1227,2625,consensus_cut_or_pot
0001.jpg,0,1227,2944,consensus_cut_or_pot
0001.jpg,0,1227,3806,consensus_cut_or_pot
0001.jpg,0,1227,3696,consensus_cut_or_pot
0001.jpg,0,1227,3597,consensus_cut_or_pot
0001.jpg,0,1227,3143,consensus_cut_or_pot
0002.jpg,1,1156,1386,track_core
0002.jpg,1,1321,1666,track_core
0002.jpg,1,1278,1233,track_core
0002.jpg,1,1147,1554,track_core
0002.jpg,1,1118,1259,track_core
0002.jpg,0,1456,3070,consensus_cut_or_pot
0002.jpg,0,1456,3519,consensus_cut_or_pot
0002.jpg,0,1456,2817,consensus_cut_or_pot
0002.jpg,0,1456,3751,consensus_cut_or_pot
0002.jpg,0,1456,2593,consensus_cut_or_pot
0002.jpg,0,1456,3399,consensus_cut_or_pot
0002.jpg,0,1456,2927,consensus_cut_or_pot
0002.jpg,0,1456,2716,consensus_cut_or_pot
0003.jpg,1,1321,1666,track_core
0003.jpg,1,1278,1233,track_core
0003.jpg,1,1153,1244,track_core
0003.jpg,1,1352,1363,track_core
0003.jpg,1,1191,1366,track_core
0003.jpg,0,1551,2732,consensus_cut_or_pot
0003.jpg,0,1550,3598,consensus_cut_or_pot
0003.jpg,0,1550,2862,consensus_cut_or_pot
0003.jpg,0,1551,3276,consensus_cut_or_pot
0003.jpg,0,1551,3448,consensus_cut_or_pot
0003.jpg,0,1550,3178,consensus_cut_or_pot
0003.jpg,0,1550,3826,consensus_cut_or_pot
0003.jpg,0,1551,3035,consensus_cut_or_pot
0004.jpg,1,1321,1666,track_core
0004.jpg,1,1278,1233,track_core
0004.jpg,1,1147,1243,track_core
0004.jpg,1,1352,1363,track_core
0004.jpg,1,1236,1492,track_core
0004.jpg,0,1570,2625,consensus_cut_or_pot
0004.jpg,0,1570,3110,consensus_cut_or_pot
0004.jpg,0,1570,2982,consensus_cut_or_pot
0004.jpg,0,1570,3572,consensus_cut_or_pot
0004.jpg,0,1570,3678,consensus_cut_or_pot
0004.jpg,0,1570,2798,consensus_cut_or_pot
0004.jpg,0,1570,3450,consensus_cut_or_pot
