method,display_name,protocol,main_table_candidate,mask_dir,target_definition,sample_count,gt_frames,eval_frames,missing_frames,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,temporal_iou,area_cv,component_count_mean,outside_nonblack_ratio,leakage_energy
SEEM_existing,SEEM,existing project output,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SEEM_existing,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9373344648632694,0.3831094569322446,0.543910562001518,0.6146678451887444,0.37354200079163336,306.54647598266604,0.15842208317905132,0.14605184763600315,0.3920917903785682,9.8,0.0066725108426733985,0.005293481143904321
CLIPSeg_potted,CLIPSeg,zero-shot text prompt,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/CLIPSeg_potted,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9134959314500695,0.9308624331431207,0.9220974206967768,0.9076024271430856,0.8554552502257098,310.3725296020508,0.08739068473432882,0.42438662013036943,0.4030019608294091,1.05,0.022964006935900727,0.018217960310570987
GroundedSAM1_potted,Grounded-SAM,GroundingDINO text box + SAM1,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM1_potted,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9773568427014643,0.9134110496261341,0.9443026224146955,0.9335154601774842,0.8944823037967546,246.35856547355652,0.40341900346865034,0.38132315893758606,0.39970974110985635,1.25,0.0055129281896955495,0.00437355324074074
GroundedSAM2_potted,Grounded-SAM2,GroundingDINO text box + SAM2,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/GroundedSAM2_potted,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9746593316511196,0.8780161668424064,0.9238170970030649,0.910928244130004,0.858420157419743,359.3831367492676,0.3018090954342379,0.3563252388355128,0.40003359031538305,1.55,0.005947027972677572,0.004717936197916666
SAM2_oracle_box,SAM2 oracle,oracle GT bounding-box prompt,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM2_oracle_box,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9336984976442119,0.8340217130032399,0.8810498581656862,0.8655765114195256,0.7873897372418813,250.19404487609864,0.2977130863631959,0.3426961653393912,0.4417669548897324,1.95,0.015428592743698694,0.012239914882330246
SAM3_P2,SAM3 single prompt,SAM3 P2 single prompt,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM3_P2,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9885694060962945,0.9506491497338296,0.969238523974442,0.9623962072074155,0.9403131049403028,193.7114722251892,0.4050709588939494,0.39220275930645854,0.41510657094741366,1.0,0.002863611796362408,0.002271779755015432
RAP-FSAM3-v2,RAP-FSAM3-v2,ours: multi-prompt selection + refinement + geometry correction,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/RAP-FSAM3-v2,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9912283379640058,0.9508483061076634,0.9706185273336799,0.9640535615203176,0.9429143161276923,183.41620121002197,0.46425623843616226,0.3961869251184602,0.4001053232904106,1.0,0.0021920561115058874,0.0017390166859567902
UNet_fewshot_seqcv,U-Net,leave-one-sequence-out few-shot training,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/UNet_fewshot_seqcv,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.8626812774226876,0.8617510004559771,0.862215888011753,0.8442730909491363,0.7578027140008607,402.5400680541992,0.15010923136748697,0.32057956447365055,0.39150838383402325,3.35,0.035734970430053456,0.028349506896219137
DeepLabV3PlusLite_fewshot_seqcv,DeepLabv3+ lite,leave-one-sequence-out few-shot training,yes,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/DeepLabV3PlusLite_fewshot_seqcv,project LabelMe GT foreground: union of closed target-object linestrips,4,20,20,,0.9103681387983137,0.8438435815106232,0.8758444626073286,0.859612216631385,0.7791132396489662,265.25001487731936,0.1532483044900553,0.3172625270559818,0.4412297364196564,3.1,0.021644101656566078,0.017170844184027777
SAM_existing,SAM existing,existing project output; historical reference only,no,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/06-实验一四样本代表集/E1_Representative4_PottedPlant_VFM/method_masks/SAM_existing,project LabelMe GT foreground: union of closed target-object linestrips,4,20,19,DouBanLv1_0050,0.9935579597533212,0.9740773520756201,0.9837212218666541,0.9796800971267245,0.9679639514597639,19.48942370163767,0.42827482406638784,0.4038112529690975,0.38290595512068754,1.9473684210526316,0.001697280412937704,0.001337770061728395
