sample,frame,has_plant,has_pot,has_potted,has_cube,plant_auto,plant_area,pot_area,potted_area,cube_area
CaoMei1,0000,1,1,1,1,0,479387,601751,1084201,139639
CaoMei1,0025,1,1,1,1,0,467393,628050,1102719,80713
CaoMei1,0050,1,1,1,1,0,277377,404246,683626,14590
CaoMei1,0075,1,1,1,1,0,375657,406001,783444,55399
CaoMei1,0100,1,1,1,1,0,414471,558578,982176,86537
ChangShouHua2,0000,1,1,1,1,0,1962773,885192,2844528,86259
ChangShouHua2,0025,1,1,1,1,0,1602242,358680,1952859,34641
ChangShouHua2,0050,1,1,1,0,1,1141721,496328,1632208,0
ChangShouHua2,0075,1,1,1,1,1,1176541,723047,1892412,47248
ChangShouHua2,0100,1,0,1,1,1,2673181,0,2673181,33172
DouBanLv1,0000,1,1,1,1,1,1280072,653259,1928939,74329
DouBanLv1,0025,1,1,1,1,1,777596,594337,1368669,29000
DouBanLv1,0050,1,1,1,0,1,537819,368420,903845,0
DouBanLv1,0075,1,1,1,1,1,796792,544763,1336799,26915
DouBanLv1,0100,1,1,1,1,1,566209,327983,890815,22363
KongQueZhuYu,0000,1,1,1,1,1,1371250,548984,1916591,35726
KongQueZhuYu,0025,1,1,1,1,1,2196694,705022,2898713,30679
KongQueZhuYu,0050,1,1,1,1,1,1328699,609648,1934985,24656
KongQueZhuYu,0075,1,1,1,1,1,1933933,249803,2181344,37106
KongQueZhuYu,0100,1,1,1,1,1,2427652,19380,2446674,17679
XianKeLai1,0000,1,1,1,1,1,1251410,281293,1532096,54606
