image,label,x,y,source
0000.jpg,1,963,1613,track_core
0000.jpg,1,896,1667,track_core
0000.jpg,1,1049,1615,track_core
0000.jpg,1,1179,1618,track_core
0000.jpg,1,1261,1587,track_core
0000.jpg,0,1206,3667,consensus_cut_or_pot
0000.jpg,0,1206,3778,consensus_cut_or_pot
0000.jpg,0,1206,3514,consensus_cut_or_pot
0000.jpg,0,1240,3435,consensus_cut_or_pot
0000.jpg,0,1247,3590,consensus_cut_or_pot
0000.jpg,0,1161,3591,consensus_cut_or_pot
0000.jpg,0,1155,3419,consensus_cut_or_pot
0000.jpg,0,1267,3839,consensus_cut_or_pot
0001.jpg,1,966,1613,track_core
0001.jpg,1,897,1666,track_core
0001.jpg,1,1052,1615,track_core
0001.jpg,1,1179,1618,track_core
0001.jpg,1,1261,1587,track_core
0001.jpg,0,1210,3698,consensus_cut_or_pot
0001.jpg,0,1210,3505,consensus_cut_or_pot
0001.jpg,0,1209,3604,consensus_cut_or_pot
0001.jpg,0,1210,3830,consensus_cut_or_pot
0001.jpg,0,1167,3430,consensus_cut_or_pot
0001.jpg,0,1253,3429,consensus_cut_or_pot
0001.jpg,0,1154,3764,consensus_cut_or_pot
0001.jpg,0,1266,3764,consensus_cut_or_pot
0002.jpg,1,957,1620,track_core
0002.jpg,1,1043,1615,track_core
0002.jpg,1,894,1679,track_core
0002.jpg,1,1179,1618,track_core
0002.jpg,1,1261,1587,track_core
0002.jpg,0,1209,3833,consensus_cut_or_pot
0002.jpg,0,1210,3618,consensus_cut_or_pot
0002.jpg,0,1209,3509,consensus_cut_or_pot
0002.jpg,0,1209,3736,consensus_cut_or_pot
0002.jpg,0,1248,3432,consensus_cut_or_pot
0002.jpg,0,1162,3431,consensus_cut_or_pot
0002.jpg,0,1273,3678,consensus_cut_or_pot
0002.jpg,0,1146,3677,consensus_cut_or_pot
0003.jpg,1,920,1650,track_core
0003.jpg,1,1021,1614,track_core
0003.jpg,1,1179,1618,track_core
0003.jpg,1,1261,1587,track_core
0003.jpg,1,885,1729,track_core
0003.jpg,0,1209,3648,consensus_cut_or_pot
0003.jpg,0,1209,3757,consensus_cut_or_pot
0003.jpg,0,1209,3555,consensus_cut_or_pot
0003.jpg,0,1212,3469,consensus_cut_or_pot
0003.jpg,0,1235,3839,consensus_cut_or_pot
0003.jpg,0,1150,3824,consensus_cut_or_pot
0003.jpg,0,1148,3411,consensus_cut_or_pot
0003.jpg,0,1273,3408,consensus_cut_or_pot
0004.jpg,1,1258,1588,track_core
0004.jpg,1,1176,1561,track_core
0004.jpg,1,1233,1671,track_core
0004.jpg,1,1329,1539,track_core
0004.jpg,1,1329,1637,track_core
0004.jpg,0,1344,3024,consensus_cut_or_pot
0004.jpg,0,1344,3784,consensus_cut_or_pot
0004.jpg,0,1344,3552,consensus_cut_or_pot
0004.jpg,0,1344,3678,consensus_cut_or_pot
0004.jpg,0,1344,3170,consensus_cut_or_pot
0004.jpg,0,1344,3458,consensus_cut_or_pot
0004.jpg,0,1344,3329,consensus_cut_or_pot
0004.jpg,0,1310,3250,consensus_cut_or_pot
0005.jpg,1,1202,1609,track_core
0005.jpg,1,1280,1571,track_core
0005.jpg,1,1122,1577,track_core
0005.jpg,1,974,1517,track_core
0005.jpg,1,1197,1695,track_core
0005.jpg,0,1295,3756,consensus_cut_or_pot
0005.jpg,0,1295,3228,consensus_cut_or_pot
0005.jpg,0,1295,3450,consensus_cut_or_pot
0005.jpg,0,1295,3582,consensus_cut_or_pot
0005.jpg,0,1295,3328,consensus_cut_or_pot
0005.jpg,0,1295,3039,consensus_cut_or_pot
0005.jpg,0,1295,3128,consensus_cut_or_pot
0005.jpg,0,1295,3669,consensus_cut_or_pot
0006.jpg,1,1179,1618,track_core
0006.jpg,1,1258,1584,track_core
0006.jpg,1,1094,1600,track_core
0006.jpg,1,1015,1562,track_core
0006.jpg,1,932,1539,track_core
0006.jpg,0,1219,3283,consensus_cut_or_pot
0006.jpg,0,1219,3826,consensus_cut_or_pot
0006.jpg,0,1219,3194,consensus_cut_or_pot
0006.jpg,0,1219,3092,consensus_cut_or_pot
0006.jpg,0,1219,3412,consensus_cut_or_pot
0006.jpg,0,1219,3739,consensus_cut_or_pot
0006.jpg,0,1219,3591,consensus_cut_or_pot
0006.jpg,0,1219,3503,consensus_cut_or_pot
0007.jpg,1,1179,1618,track_core
0007.jpg,1,1094,1602,track_core
0007.jpg,1,1255,1576,track_core
0007.jpg,1,1017,1560,track_core
0007.jpg,1,936,1531,track_core
0007.jpg,0,1193,3262,consensus_cut_or_pot
0007.jpg,0,1193,3369,consensus_cut_or_pot
0007.jpg,0,1193,3090,consensus_cut_or_pot
0007.jpg,0,1193,3578,consensus_cut_or_pot
0007.jpg,0,1193,3781,consensus_cut_or_pot
0007.jpg,0,1193,3460,consensus_cut_or_pot
0007.jpg,0,1193,3668,consensus_cut_or_pot
0007.jpg,0,1194,3176,consensus_cut_or_pot
0008.jpg,1,933,1623,track_core
0008.jpg,1,1019,1614,track_core
0008.jpg,1,1179,1618,track_core
0008.jpg,1,849,1642,track_core
0008.jpg,1,1261,1587,track_core
0008.jpg,0,1155,3680,consensus_cut_or_pot
0008.jpg,0,1155,3587,consensus_cut_or_pot
0008.jpg,0,1156,3501,consensus_cut_or_pot
0008.jpg,0,1155,3767,consensus_cut_or_pot
0008.jpg,0,1153,3415,consensus_cut_or_pot
0008.jpg,0,1203,3839,consensus_cut_or_pot
0008.jpg,0,1107,3839,consensus_cut_or_pot
0008.jpg,0,1217,3356,consensus_cut_or_pot
0009.jpg,1,991,1614,track_core
0009.jpg,1,914,1654,track_core
0009.jpg,1,1077,1615,track_core
0009.jpg,1,1179,1618,track_core
0009.jpg,1,1261,1587,track_core
0009.jpg,0,1202,3806,consensus_cut_or_pot
