sample,frame,image_path,gt_path,pred_path,image_exists,gt_exists,pred_exists,image_size,gt_size,pred_size,sample_prefix_ok,frame_index_ok,gt_area
BaiZhang,0033,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0033.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0033.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_BaiZhang_0033.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,2890593
BaiZhang,0034,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0034.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0034.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_BaiZhang_0034.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,2772217
BaiZhang,0035,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0035.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0035.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_BaiZhang_0035.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,2538285
BaiZhang,0036,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0036.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0036.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_BaiZhang_0036.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,2394015
BaiZhang,0037,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/BaiZhang_0037.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/BaiZhang/mask_potted_clean_0037.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_BaiZhang_0037.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,2313272
DouBanLv2,0037,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0037.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0037.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0037.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,1807585
DouBanLv2,0038,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0038.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0038.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0038.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,1624290
DouBanLv2,0039,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0039.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0039.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0039.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,1510266
DouBanLv2,0040,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0040.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0040.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0040.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,1420596
DouBanLv2,0041,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/00_input_trackA/DouBanLv2_0041.jpg,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十六_HardCase_GT构建与锁定/GT_potted_clean_challenge/DouBanLv2/mask_potted_clean_0041.png,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/最终掩膜/mask_DouBanLv2_0041.png,True,True,True,2160x3840,2160x3840,2160x3840,True,True,1349934
