image,label,x,y,source
0000.jpg,1,987,1016,track_core
0000.jpg,1,1094,1789,track_core
0000.jpg,1,1168,1432,track_core
0000.jpg,1,1065,1270,track_core
0000.jpg,1,1239,1816,track_core
0000.jpg,0,1118,3606,consensus_cut_or_pot
0000.jpg,0,1118,3737,consensus_cut_or_pot
0000.jpg,0,1118,3839,consensus_cut_or_pot
0000.jpg,0,1149,3525,consensus_cut_or_pot
0000.jpg,0,1065,3505,consensus_cut_or_pot
0000.jpg,0,1175,3671,consensus_cut_or_pot
0000.jpg,0,1061,3672,consensus_cut_or_pot
0000.jpg,0,1188,3789,consensus_cut_or_pot
0001.jpg,1,987,1016,track_core
0001.jpg,1,1094,1789,track_core
0001.jpg,1,1168,1432,track_core
0001.jpg,1,1065,1270,track_core
0001.jpg,1,1239,1816,track_core
0001.jpg,0,1138,3826,consensus_cut_or_pot
0001.jpg,0,1138,3645,consensus_cut_or_pot
0001.jpg,0,1138,3545,consensus_cut_or_pot
0001.jpg,0,1138,3735,consensus_cut_or_pot
0001.jpg,0,1079,3482,consensus_cut_or_pot
0001.jpg,0,1197,3482,consensus_cut_or_pot
0001.jpg,0,1068,3595,consensus_cut_or_pot
0001.jpg,0,1208,3595,consensus_cut_or_pot
0002.jpg,1,987,1016,track_core
0002.jpg,1,1094,1789,track_core
0002.jpg,1,1168,1432,track_core
0002.jpg,1,1065,1270,track_core
0002.jpg,1,1239,1816,track_core
0002.jpg,0,1162,3659,consensus_cut_or_pot
0002.jpg,0,1163,3749,consensus_cut_or_pot
0002.jpg,0,1162,3541,consensus_cut_or_pot
0002.jpg,0,1162,3837,consensus_cut_or_pot
0002.jpg,0,1214,3472,consensus_cut_or_pot
0002.jpg,0,1110,3472,consensus_cut_or_pot
0002.jpg,0,1225,3600,consensus_cut_or_pot
0002.jpg,0,1099,3600,consensus_cut_or_pot
0003.jpg,1,987,1016,track_core
0003.jpg,1,1094,1789,track_core
0003.jpg,1,1168,1432,track_core
0003.jpg,1,1065,1270,track_core
0003.jpg,1,1239,1816,track_core
0003.jpg,0,1187,3612,consensus_cut_or_pot
0003.jpg,0,1187,3709,consensus_cut_or_pot
0003.jpg,0,1187,3804,consensus_cut_or_pot
0003.jpg,0,1187,3525,consensus_cut_or_pot
0003.jpg,0,1247,3463,consensus_cut_or_pot
0003.jpg,0,1127,3463,consensus_cut_or_pot
0003.jpg,0,1115,3660,consensus_cut_or_pot
0003.jpg,0,1259,3661,consensus_cut_or_pot
0004.jpg,1,987,1016,track_core
0004.jpg,1,1094,1789,track_core
0004.jpg,1,1168,1432,track_core
0004.jpg,1,1065,1270,track_core
0004.jpg,1,1239,1816,track_core
0004.jpg,0,1257,3802,consensus_cut_or_pot
0004.jpg,0,1258,3629,consensus_cut_or_pot
0004.jpg,0,1258,3716,consensus_cut_or_pot
0004.jpg,0,1244,3544,consensus_cut_or_pot
0004.jpg,0,1317,3498,consensus_cut_or_pot
0004.jpg,0,1331,3583,consensus_cut_or_pot
0004.jpg,0,1183,3673,consensus_cut_or_pot
0004.jpg,0,1183,3483,consensus_cut_or_pot
0005.jpg,1,987,1016,track_core
0005.jpg,1,1094,1789,track_core
0005.jpg,1,1168,1432,track_core
0005.jpg,1,1065,1270,track_core
0005.jpg,1,1239,1816,track_core
0005.jpg,0,1230,3723,consensus_cut_or_pot
0005.jpg,0,1230,3824,consensus_cut_or_pot
0005.jpg,0,1229,3636,consensus_cut_or_pot
0005.jpg,0,1242,3550,consensus_cut_or_pot
0005.jpg,0,1169,3503,consensus_cut_or_pot
0005.jpg,0,1160,3773,consensus_cut_or_pot
0005.jpg,0,1300,3773,consensus_cut_or_pot
0005.jpg,0,1156,3590,consensus_cut_or_pot
0006.jpg,1,987,1016,track_core
0006.jpg,1,1094,1789,track_core
0006.jpg,1,1168,1432,track_core
0006.jpg,1,1065,1270,track_core
0006.jpg,1,1239,1816,track_core
0006.jpg,0,1242,3679,consensus_cut_or_pot
0006.jpg,0,1242,3770,consensus_cut_or_pot
0006.jpg,0,1242,3565,consensus_cut_or_pot
0006.jpg,0,1243,3459,consensus_cut_or_pot
0006.jpg,0,1194,3388,consensus_cut_or_pot
0006.jpg,0,1292,3388,consensus_cut_or_pot
0006.jpg,0,1294,3839,consensus_cut_or_pot
0006.jpg,0,1190,3839,consensus_cut_or_pot
0007.jpg,1,987,1016,track_core
0007.jpg,1,1094,1789,track_core
0007.jpg,1,1168,1432,track_core
0007.jpg,1,1065,1270,track_core
0007.jpg,1,1239,1816,track_core
0007.jpg,0,1190,3610,consensus_cut_or_pot
0007.jpg,0,1190,3831,consensus_cut_or_pot
0007.jpg,0,1190,3725,consensus_cut_or_pot
0007.jpg,0,1149,3534,consensus_cut_or_pot
0007.jpg,0,1235,3533,consensus_cut_or_pot
0007.jpg,0,1125,3668,consensus_cut_or_pot
0007.jpg,0,1255,3668,consensus_cut_or_pot
0007.jpg,0,1122,3778,consensus_cut_or_pot
0008.jpg,1,987,1016,track_core
0008.jpg,1,1094,1789,track_core
0008.jpg,1,1168,1432,track_core
0008.jpg,1,1065,1270,track_core
0008.jpg,1,1239,1816,track_core
0008.jpg,0,1223,3669,consensus_cut_or_pot
0008.jpg,0,1223,3832,consensus_cut_or_pot
0008.jpg,0,1252,3750,consensus_cut_or_pot
0008.jpg,0,1271,3597,consensus_cut_or_pot
0008.jpg,0,1175,3597,consensus_cut_or_pot
0008.jpg,0,1167,3765,consensus_cut_or_pot
0008.jpg,0,1308,3818,consensus_cut_or_pot
0008.jpg,0,1308,3683,consensus_cut_or_pot
0009.jpg,1,987,1016,track_core
0009.jpg,1,1094,1789,track_core
0009.jpg,1,1168,1432,track_core
0009.jpg,1,1065,1270,track_core
0009.jpg,1,1239,1816,track_core
0009.jpg,0,1242,3521,consensus_cut_or_pot
0009.jpg,0,1243,3618,consensus_cut_or_pot
0009.jpg,0,1243,3834,consensus_cut_or_pot
0009.jpg,0,1242,3719,consensus_cut_or_pot
