sample,frame,shape_count,min_confidence,has_pot,has_cube,pending
CaoMei1,0000,2,0.9,1,0,0
CaoMei1,0025,2,0.6,0,0,0
CaoMei1,0050,1,0.9,0,0,0
CaoMei1,0075,2,0.6,0,0,0
CaoMei1,0100,2,0.9,1,0,0
ChangShouHua2,0000,2,0.9,1,0,0
ChangShouHua2,0025,2,0.6,0,0,0
ChangShouHua2,0050,1,0.9,0,0,0
ChangShouHua2,0075,2,0.6,0,0,0
ChangShouHua2,0100,2,0.9,1,0,0
DouBanLv1,0000,2,0.9,1,0,0
DouBanLv1,0025,2,0.6,0,0,0
DouBanLv1,0050,1,0.9,0,0,0
DouBanLv1,0075,2,0.6,0,0,0
DouBanLv1,0100,2,0.9,0,1,0
KongQueZhuYu,0000,2,0.6,0,0,0
KongQueZhuYu,0025,1,0.9,0,0,0
KongQueZhuYu,0050,2,0.6,0,0,0
KongQueZhuYu,0075,2,0.9,1,0,0
KongQueZhuYu,0100,2,0.6,0,0,0
XianKeLai1,0000,2,0.9,1,0,0
