row,col,sample,column_title,prompt_id,prompt_text,f1,asset_path,cell_annotation
1,1,DouBanLv1,Raw image,,,,../01_grid_ordered_assets/R1C1_DouBanLv1_raw_image.jpg,
1,2,DouBanLv1,Green-region prompt,P1,green plant,0.7972,../01_grid_ordered_assets/R1C2_DouBanLv1_P1_green_region_prompt.png,bg leakage
1,3,DouBanLv1,Plant-without-container prompt,P2,entire plant excluding pot,0.9692,../01_grid_ordered_assets/R1C3_DouBanLv1_P2_plant_without_container_prompt.png,
1,4,DouBanLv1,Organ-level prompt,P3,leaves and stems,0.6471,../01_grid_ordered_assets/R1C4_DouBanLv1_P3_organ_level_prompt.png,missing structure
1,5,DouBanLv1,Seedling-oriented prompt,P4,crop seedling,0.0768,../01_grid_ordered_assets/R1C5_DouBanLv1_P4_seedling_oriented_prompt.png,mature-plant bias
1,6,DouBanLv1,Background-excluding plant prompt,P5,plant body without background,0.4051,../01_grid_ordered_assets/R1C6_DouBanLv1_P5_background_excluding_plant_prompt.png,under-seg.
1,7,DouBanLv1,RAP-FSAM3 output,,,,../01_grid_ordered_assets/R1C7_DouBanLv1_RAP_FSAM3_output.png,stable prior
2,1,ChangShouHua2,Raw image,,,,../01_grid_ordered_assets/R2C1_ChangShouHua2_raw_image.jpg,
2,2,ChangShouHua2,Green-region prompt,P1,green plant,0.7972,../01_grid_ordered_assets/R2C2_ChangShouHua2_P1_green_region_prompt.png,bg leakage
2,3,ChangShouHua2,Plant-without-container prompt,P2,entire plant excluding pot,0.9692,../01_grid_ordered_assets/R2C3_ChangShouHua2_P2_plant_without_container_prompt.png,
2,4,ChangShouHua2,Organ-level prompt,P3,leaves and stems,0.6471,../01_grid_ordered_assets/R2C4_ChangShouHua2_P3_organ_level_prompt.png,missing flowers / missing structure
2,5,ChangShouHua2,Seedling-oriented prompt,P4,crop seedling,0.0768,../01_grid_ordered_assets/R2C5_ChangShouHua2_P4_seedling_oriented_prompt.png,mature-plant bias
2,6,ChangShouHua2,Background-excluding plant prompt,P5,plant body without background,0.4051,../01_grid_ordered_assets/R2C6_ChangShouHua2_P5_background_excluding_plant_prompt.png,under-seg.
2,7,ChangShouHua2,RAP-FSAM3 output,,,,../01_grid_ordered_assets/R2C7_ChangShouHua2_RAP_FSAM3_output.png,improved boundary
3,1,CaoMei1,Raw image,,,,../01_grid_ordered_assets/R3C1_CaoMei1_raw_image.jpg,
3,2,CaoMei1,Green-region prompt,P1,green plant,0.7972,../01_grid_ordered_assets/R3C2_CaoMei1_P1_green_region_prompt.png,bg leakage
3,3,CaoMei1,Plant-without-container prompt,P2,entire plant excluding pot,0.9692,../01_grid_ordered_assets/R3C3_CaoMei1_P2_plant_without_container_prompt.png,
3,4,CaoMei1,Organ-level prompt,P3,leaves and stems,0.6471,../01_grid_ordered_assets/R3C4_CaoMei1_P3_organ_level_prompt.png,missing structure
3,5,CaoMei1,Seedling-oriented prompt,P4,crop seedling,0.0768,../01_grid_ordered_assets/R3C5_CaoMei1_P4_seedling_oriented_prompt.png,mature-plant bias
3,6,CaoMei1,Background-excluding plant prompt,P5,plant body without background,0.4051,../01_grid_ordered_assets/R3C6_CaoMei1_P5_background_excluding_plant_prompt.png,under-seg.
3,7,CaoMei1,RAP-FSAM3 output,,,,../01_grid_ordered_assets/R3C7_CaoMei1_RAP_FSAM3_output.png,improved boundary
